"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SCL,"5/5/2024 1 a.m. PDT",845,823,436,-409
SCL,"5/5/2024 2 a.m. PDT",823,788,413,-410
SCL,"5/5/2024 3 a.m. PDT",804,767,382,-422
SCL,"5/5/2024 4 a.m. PDT",806,759,446,-360
SCL,"5/5/2024 5 a.m. PDT",799,764,595,-204
SCL,"5/5/2024 6 a.m. PDT",829,785,619,-210
SCL,"5/5/2024 7 a.m. PDT",822,821,625,-197
SCL,"5/5/2024 8 a.m. PDT",874,875,535,-339
SCL,"5/5/2024 9 a.m. PDT",980,929,521,-459
SCL,"5/5/2024 10 a.m. PDT",1034,967,547,-487
SCL,"5/5/2024 11 a.m. PDT",1079,983,775,-304
SCL,"5/5/2024 12 p.m. PDT",1100,988,686,-414
SCL,"5/5/2024 1 p.m. PDT",1118,992,784,-334
SCL,"5/5/2024 2 p.m. PDT",1096,983,668,-428
SCL,"5/5/2024 3 p.m. PDT",1093,977,634,-459
SCL,"5/5/2024 4 p.m. PDT",1107,967,571,-536
SCL,"5/5/2024 5 p.m. PDT",1117,982,539,-578
SCL,"5/5/2024 6 p.m. PDT",1128,1004,546,-582
SCL,"5/5/2024 7 p.m. PDT",1149,1017,756,-393
SCL,"5/5/2024 8 p.m. PDT",1140,1031,823,-317
SCL,"5/5/2024 9 p.m. PDT",1144,1058,912,-232
SCL,"5/5/2024 10 p.m. PDT",1119,1048,681,-438
SCL,"5/5/2024 11 p.m. PDT",1053,978,579,-474
SCL,"5/6/2024 12 a.m. PDT",957,905,536,-421
SCL,"5/6/2024 1 a.m. PDT",903,871,438,-465
SCL,"5/6/2024 2 a.m. PDT",844,831,406,-438
SCL,"5/6/2024 3 a.m. PDT",833,817,375,-458
SCL,"5/6/2024 4 a.m. PDT",815,821,431,-384
SCL,"5/6/2024 5 a.m. PDT",850,850,488,-362
SCL,"5/6/2024 6 a.m. PDT",979,923,597,-382
SCL,"5/6/2024 7 a.m. PDT",1056,1027,593,-463
SCL,"5/6/2024 8 a.m. PDT",1140,1124,755,-385
SCL,"5/6/2024 9 a.m. PDT",1154,1154,756,-398
SCL,"5/6/2024 10 a.m. PDT",1160,1149,727,-433
SCL,"5/6/2024 11 a.m. PDT",1150,1132,722,-428
SCL,"5/6/2024 12 p.m. PDT",1120,1115,681,-439
SCL,"5/6/2024 1 p.m. PDT",1112,1101,611,-501
SCL,"5/6/2024 2 p.m. PDT",1088,1086,445,-643
SCL,"5/6/2024 3 p.m. PDT",1075,1077,434,-641
SCL,"5/6/2024 4 p.m. PDT",1063,1075,406,-657
SCL,"5/6/2024 5 p.m. PDT",1079,1084,402,-677
SCL,"5/6/2024 6 p.m. PDT",1092,1104,613,-479
SCL,"5/6/2024 7 p.m. PDT",1098,1100,775,-323
SCL,"5/6/2024 8 p.m. PDT",1103,1102,841,-262
SCL,"5/6/2024 9 p.m. PDT",1122,1113,890,-232
SCL,"5/6/2024 10 p.m. PDT",1099,1086,828,-271
SCL,"5/6/2024 11 p.m. PDT",1016,1012,845,-171
SCL,"5/7/2024 12 a.m. PDT",949,934,787,-162
SCL,"5/7/2024 1 a.m. PDT",898,850,690,-208
SCL,"5/7/2024 2 a.m. PDT",874,820,655,-219
SCL,"5/7/2024 3 a.m. PDT",853,807,641,-212
SCL,"5/7/2024 4 a.m. PDT",859,811,609,-250
SCL,"5/7/2024 5 a.m. PDT",895,846,616,-279
SCL,"5/7/2024 6 a.m. PDT",981,930,704,-277
SCL,"5/7/2024 7 a.m. PDT",1114,1048,738,-376
SCL,"5/7/2024 8 a.m. PDT",1202,1142,762,-440
SCL,"5/7/2024 9 a.m. PDT",1181,1162,730,-451
SCL,"5/7/2024 10 a.m. PDT",1159,1148,702,-457
SCL,"5/7/2024 11 a.m. PDT",1141,1123,703,-438
SCL,"5/7/2024 12 p.m. PDT",1112,1102,666,-446
SCL,"5/7/2024 1 p.m. PDT",1114,1082,406,-708
SCL,"5/7/2024 2 p.m. PDT",1106,1060,407,-699
SCL,"5/7/2024 3 p.m. PDT",1043,1046,424,-619
SCL,"5/7/2024 4 p.m. PDT",1043,1034,405,-638
SCL,"5/7/2024 5 p.m. PDT",1070,1044,415,-655
SCL,"5/7/2024 6 p.m. PDT",1097,1060,523,-574
SCL,"5/7/2024 7 p.m. PDT",1089,1058,732,-357
SCL,"5/7/2024 8 p.m. PDT",1084,1052,752,-332
SCL,"5/7/2024 9 p.m. PDT",1081,1068,806,-275
SCL,"5/7/2024 10 p.m. PDT",1093,1067,748,-345
SCL,"5/7/2024 11 p.m. PDT",1020,1002,699,-321
SCL,"5/8/2024 12 a.m. PDT",947,925,591,-356
SCL,"5/8/2024 1 a.m. PDT",886,851,558,-328
SCL,"5/8/2024 2 a.m. PDT",855,820,519,-336
SCL,"5/8/2024 3 a.m. PDT",807,807,523,-284
SCL,"5/8/2024 4 a.m. PDT",809,811,539,-270
SCL,"5/8/2024 5 a.m. PDT",847,844,593,-254
SCL,"5/8/2024 6 a.m. PDT",939,926,759,-180
SCL,"5/8/2024 7 a.m. PDT",1056,1036,750,-306
SCL,"5/8/2024 8 a.m. PDT",1124,1117,794,-330
SCL,"5/8/2024 9 a.m. PDT",1113,1124,751,-362
SCL,"5/8/2024 10 a.m. PDT",1081,1108,701,-380
SCL,"5/8/2024 11 a.m. PDT",1059,1087,540,-519
SCL,"5/8/2024 12 p.m. PDT",1039,1072,527,-512
SCL,"5/8/2024 1 p.m. PDT",1026,1053,548,-478
SCL,"5/8/2024 2 p.m. PDT",1009,1040,530,-479
SCL,"5/8/2024 3 p.m. PDT",988,1029,527,-461
SCL,"5/8/2024 4 p.m. PDT",982,1027,552,-430
SCL,"5/8/2024 5 p.m. PDT",987,1034,534,-453
SCL,"5/8/2024 6 p.m. PDT",1001,1046,593,-408
SCL,"5/8/2024 7 p.m. PDT",997,1041,780,-217
SCL,"5/8/2024 8 p.m. PDT",995,1033,776,-219
SCL,"5/8/2024 9 p.m. PDT",1003,1036,769,-234
SCL,"5/8/2024 10 p.m. PDT",998,1022,733,-265
SCL,"5/8/2024 11 p.m. PDT",931,961,719,-212
SCL,"5/9/2024 12 a.m. PDT",851,893,706,-145
SCL,"5/9/2024 1 a.m. PDT",801,809,582,-219
SCL,"5/9/2024 2 a.m. PDT",762,768,583,-179
SCL,"5/9/2024 3 a.m. PDT",755,753,591,-164
SCL,"5/9/2024 4 a.m. PDT",751,755,580,-171
SCL,"5/9/2024 5 a.m. PDT",785,788,589,-196
SCL,"5/9/2024 6 a.m. PDT",859,863,645,-214
