"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SCL,"2/1/2024 12 a.m. PST",954,952,420,-534
SCL,"2/1/2024 1 a.m. PST",885,895,366,-519
SCL,"2/1/2024 2 a.m. PST",857,863,366,-491
SCL,"2/1/2024 3 a.m. PST",829,846,357,-472
SCL,"2/1/2024 4 a.m. PST",830,845,363,-467
SCL,"2/1/2024 5 a.m. PST",867,876,374,-493
SCL,"2/1/2024 6 a.m. PST",948,959,417,-531
SCL,"2/1/2024 7 a.m. PST",1076,1085,609,-467
SCL,"2/1/2024 8 a.m. PST",1182,1195,670,-512
SCL,"2/1/2024 9 a.m. PST",1221,1224,782,-439
SCL,"2/1/2024 10 a.m. PST",1206,1221,808,-398
SCL,"2/1/2024 11 a.m. PST",1212,1216,761,-451
SCL,"2/1/2024 12 p.m. PST",1194,1206,782,-412
SCL,"2/1/2024 1 p.m. PST",1182,1206,781,-401
SCL,"2/1/2024 2 p.m. PST",1158,1187,752,-406
SCL,"2/1/2024 3 p.m. PST",1123,1171,744,-379
SCL,"2/1/2024 4 p.m. PST",1117,1175,745,-372
SCL,"2/1/2024 5 p.m. PST",1149,1206,676,-473
SCL,"2/1/2024 6 p.m. PST",1208,1272,676,-532
SCL,"2/1/2024 7 p.m. PST",1230,1271,741,-489
SCL,"2/1/2024 8 p.m. PST",1205,1244,709,-496
SCL,"2/1/2024 9 p.m. PST",1182,1200,631,-551
SCL,"2/1/2024 10 p.m. PST",1114,1144,656,-458
SCL,"2/1/2024 11 p.m. PST",1057,1068,638,-419
SCL,"2/2/2024 12 a.m. PST",967,990,549,-418
SCL,"2/2/2024 1 a.m. PST",909,914,281,-628
SCL,"2/2/2024 2 a.m. PST",880,886,255,-625
SCL,"2/2/2024 3 a.m. PST",866,873,256,-610
SCL,"2/2/2024 4 a.m. PST",871,877,288,-583
SCL,"2/2/2024 5 a.m. PST",910,916,393,-517
SCL,"2/2/2024 6 a.m. PST",1007,1005,419,-588
SCL,"2/2/2024 7 a.m. PST",1147,1134,662,-485
SCL,"2/2/2024 8 a.m. PST",1266,1246,779,-487
SCL,"2/2/2024 9 a.m. PST",1297,1284,746,-551
SCL,"2/2/2024 10 a.m. PST",1310,1278,684,-626
SCL,"2/2/2024 11 a.m. PST",1284,1269,586,-698
SCL,"2/2/2024 12 p.m. PST",1239,1254,566,-673
SCL,"2/2/2024 1 p.m. PST",1221,1243,535,-686
SCL,"2/2/2024 2 p.m. PST",1197,1219,520,-677
SCL,"2/2/2024 3 p.m. PST",1178,1208,499,-679
SCL,"2/2/2024 4 p.m. PST",1184,1208,481,-703
SCL,"2/2/2024 5 p.m. PST",1207,1231,643,-564
SCL,"2/2/2024 6 p.m. PST",1246,1289,690,-556
SCL,"2/2/2024 7 p.m. PST",1273,1276,704,-569
SCL,"2/2/2024 8 p.m. PST",1250,1234,644,-606
SCL,"2/2/2024 9 p.m. PST",1219,1189,566,-653
SCL,"2/2/2024 10 p.m. PST",1169,1141,676,-493
SCL,"2/2/2024 11 p.m. PST",1114,1080,509,-605
SCL,"2/3/2024 12 a.m. PST",1043,1023,438,-605
SCL,"2/3/2024 1 a.m. PST",987,956,375,-612
SCL,"2/3/2024 2 a.m. PST",955,924,351,-604
SCL,"2/3/2024 3 a.m. PST",943,908,347,-596
SCL,"2/3/2024 4 a.m. PST",939,905,338,-601
SCL,"2/3/2024 5 a.m. PST",953,921,368,-585
SCL,"2/3/2024 6 a.m. PST",994,957,428,-566
SCL,"2/3/2024 7 a.m. PST",1049,1004,483,-566
SCL,"2/3/2024 8 a.m. PST",1117,1073,552,-565
SCL,"2/3/2024 9 a.m. PST",1175,1153,560,-615
SCL,"2/3/2024 10 a.m. PST",1182,1202,573,-609
SCL,"2/3/2024 11 a.m. PST",1186,1217,540,-646
SCL,"2/3/2024 12 p.m. PST",1180,1215,505,-675
SCL,"2/3/2024 1 p.m. PST",1165,1204,519,-646
SCL,"2/3/2024 2 p.m. PST",1138,1174,475,-663
SCL,"2/3/2024 3 p.m. PST",1128,1162,476,-652
SCL,"2/3/2024 4 p.m. PST",1127,1154,459,-668
SCL,"2/3/2024 5 p.m. PST",1166,1187,623,-543
SCL,"2/3/2024 6 p.m. PST",1236,1247,730,-506
SCL,"2/3/2024 7 p.m. PST",1254,1260,752,-502
SCL,"2/3/2024 8 p.m. PST",1226,1232,756,-470
SCL,"2/3/2024 9 p.m. PST",1210,1197,742,-468
SCL,"2/3/2024 10 p.m. PST",1172,1150,630,-542
SCL,"2/3/2024 11 p.m. PST",1119,1101,603,-516
SCL,"2/4/2024 12 a.m. PST",1061,1046,532,-529
SCL,"2/4/2024 1 a.m. PST",998,981,436,-562
