"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SCL,"7/5/2024 3 a.m. PDT",727,734,467,-260
SCL,"7/5/2024 4 a.m. PDT",706,727,402,-304
SCL,"7/5/2024 5 a.m. PDT",718,748,464,-254
SCL,"7/5/2024 6 a.m. PDT",733,788,496,-237
SCL,"7/5/2024 7 a.m. PDT",801,869,674,-127
SCL,"7/5/2024 8 a.m. PDT",865,955,672,-193
SCL,"7/5/2024 9 a.m. PDT",922,1009,511,-411
SCL,"7/5/2024 10 a.m. PDT",976,1041,603,-373
SCL,"7/5/2024 11 a.m. PDT",1016,1061,765,-251
SCL,"7/5/2024 12 p.m. PDT",1040,1085,809,-231
SCL,"7/5/2024 1 p.m. PDT",1065,1105,921,-144
SCL,"7/5/2024 2 p.m. PDT",1079,1125,966,-113
SCL,"7/5/2024 3 p.m. PDT",1095,1141,942,-153
SCL,"7/5/2024 4 p.m. PDT",1124,1159,906,-218
SCL,"7/5/2024 5 p.m. PDT",1147,1178,880,-267
SCL,"7/5/2024 6 p.m. PDT",1168,1174,938,-230
SCL,"7/5/2024 7 p.m. PDT",1144,1137,993,-151
SCL,"7/5/2024 8 p.m. PDT",1119,1094,1018,-101
SCL,"7/5/2024 9 p.m. PDT",1087,1059,982,-105
SCL,"7/5/2024 10 p.m. PDT",1052,1039,911,-141
SCL,"7/5/2024 11 p.m. PDT",1002,998,705,-297
SCL,"7/6/2024 12 a.m. PDT",927,932,636,-291
SCL,"7/6/2024 1 a.m. PDT",863,873,372,-491
SCL,"7/6/2024 2 a.m. PDT",804,815,274,-530
SCL,"7/6/2024 3 a.m. PDT",774,780,292,-482
SCL,"7/6/2024 4 a.m. PDT",750,761,288,-462
SCL,"7/6/2024 5 a.m. PDT",740,762,288,-452
SCL,"7/6/2024 6 a.m. PDT",744,769,286,-458
SCL,"7/6/2024 7 a.m. PDT",767,805,665,-102
SCL,"7/6/2024 8 a.m. PDT",834,857,645,-189
SCL,"7/6/2024 9 a.m. PDT",918,911,686,-232
SCL,"7/6/2024 10 a.m. PDT",984,955,767,-217
