BA Code,Timestamp (Hour Ending),Demand (MWh)
SCL,1/6/2024 2 p.m. PST,1299.0
SCL,1/6/2024 3 p.m. PST,1291.0
SCL,1/6/2024 4 p.m. PST,1284.0
SCL,1/6/2024 5 p.m. PST,1350.0
SCL,1/6/2024 6 p.m. PST,1413.0
SCL,1/6/2024 7 p.m. PST,1409.0
SCL,1/6/2024 8 p.m. PST,1393.0
SCL,1/6/2024 9 p.m. PST,1352.0
SCL,1/6/2024 10 p.m. PST,1296.0
SCL,1/6/2024 11 p.m. PST,1226.0
SCL,1/7/2024 12 a.m. PST,1163.0
SCL,1/7/2024 1 a.m. PST,1111.0
SCL,1/7/2024 2 a.m. PST,1080.0
SCL,1/7/2024 3 a.m. PST,1044.0
SCL,1/7/2024 4 a.m. PST,1043.0
SCL,1/7/2024 5 a.m. PST,1058.0
SCL,1/7/2024 6 a.m. PST,1086.0
SCL,1/7/2024 7 a.m. PST,1130.0
SCL,1/7/2024 8 a.m. PST,1199.0
SCL,1/7/2024 9 a.m. PST,1252.0
SCL,1/7/2024 10 a.m. PST,1309.0
SCL,1/7/2024 11 a.m. PST,1343.0
SCL,1/7/2024 12 p.m. PST,1357.0
SCL,1/7/2024 1 p.m. PST,1356.0
SCL,1/7/2024 2 p.m. PST,1349.0
SCL,1/7/2024 3 p.m. PST,1357.0
SCL,1/7/2024 4 p.m. PST,1370.0
SCL,1/7/2024 5 p.m. PST,1414.0
SCL,1/7/2024 6 p.m. PST,1482.0
SCL,1/7/2024 7 p.m. PST,1480.0
SCL,1/7/2024 8 p.m. PST,1463.0
SCL,1/7/2024 9 p.m. PST,1409.0
SCL,1/7/2024 10 p.m. PST,1341.0
SCL,1/7/2024 11 p.m. PST,1240.0
SCL,1/8/2024 12 a.m. PST,1178.0
SCL,1/8/2024 1 a.m. PST,1120.0
SCL,1/8/2024 2 a.m. PST,1068.0
SCL,1/8/2024 3 a.m. PST,1078.0
SCL,1/8/2024 4 a.m. PST,1107.0
SCL,1/8/2024 5 a.m. PST,1146.0
SCL,1/8/2024 6 a.m. PST,1249.0
SCL,1/8/2024 7 a.m. PST,1404.0
SCL,1/8/2024 8 a.m. PST,1529.0
SCL,1/8/2024 9 a.m. PST,1569.0
SCL,1/8/2024 10 a.m. PST,1586.0
SCL,1/8/2024 11 a.m. PST,1578.0
SCL,1/8/2024 12 p.m. PST,1574.0
SCL,1/8/2024 1 p.m. PST,1568.0
SCL,1/8/2024 2 p.m. PST,1549.0
SCL,1/8/2024 3 p.m. PST,1551.0
SCL,1/8/2024 4 p.m. PST,1553.0
SCL,1/8/2024 5 p.m. PST,1573.0
SCL,1/8/2024 6 p.m. PST,1585.0
SCL,1/8/2024 7 p.m. PST,1530.0
SCL,1/8/2024 8 p.m. PST,1465.0
SCL,1/8/2024 9 p.m. PST,1413.0
SCL,1/8/2024 10 p.m. PST,1349.0
SCL,1/8/2024 11 p.m. PST,1248.0
SCL,1/9/2024 12 a.m. PST,1159.0
SCL,1/9/2024 1 a.m. PST,1087.0
SCL,1/9/2024 2 a.m. PST,1056.0
SCL,1/9/2024 3 a.m. PST,1045.0
SCL,1/9/2024 4 a.m. PST,1057.0
SCL,1/9/2024 5 a.m. PST,1113.0
SCL,1/9/2024 6 a.m. PST,1215.0
SCL,1/9/2024 7 a.m. PST,1343.0
SCL,1/9/2024 8 a.m. PST,1439.0
SCL,1/9/2024 9 a.m. PST,1491.0
SCL,1/9/2024 10 a.m. PST,1511.0
SCL,1/9/2024 11 a.m. PST,1480.0
SCL,1/9/2024 12 p.m. PST,1490.0
