"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SCL,"3/5/2025 3 a.m. PST",946,960,221,-725
SCL,"3/5/2025 4 a.m. PST",954,965,240,-714
SCL,"3/5/2025 5 a.m. PST",992,1003,296,-696
SCL,"3/5/2025 6 a.m. PST",1100,1100,492,-608
SCL,"3/5/2025 7 a.m. PST",1256,1242,632,-624
SCL,"3/5/2025 8 a.m. PST",1346,1334,746,-600
SCL,"3/5/2025 9 a.m. PST",1325,1340,714,-611
SCL,"3/5/2025 10 a.m. PST",1273,1300,553,-720
SCL,"3/5/2025 11 a.m. PST",1223,1252,420,-803
SCL,"3/5/2025 12 p.m. PST",1195,1211,267,-928
SCL,"3/5/2025 1 p.m. PST",1179,1187,333,-846
SCL,"3/5/2025 2 p.m. PST",1150,1170,346,-804
SCL,"3/5/2025 3 p.m. PST",1119,1161,334,-785
SCL,"3/5/2025 4 p.m. PST",1118,1159,339,-779
SCL,"3/5/2025 5 p.m. PST",1139,1177,489,-650
SCL,"3/5/2025 6 p.m. PST",1203,1225,672,-531
SCL,"3/5/2025 7 p.m. PST",1253,1272,603,-650
SCL,"3/5/2025 8 p.m. PST",1254,1267,563,-691
SCL,"3/5/2025 9 p.m. PST",1235,1240,721,-514
SCL,"3/5/2025 10 p.m. PST",1182,1190,576,-606
SCL,"3/5/2025 11 p.m. PST",1108,1116,471,-637
SCL,"3/6/2025 12 a.m. PST",1023,1041,288,-735
SCL,"3/6/2025 1 a.m. PST",972,986,288,-684
SCL,"3/6/2025 2 a.m. PST",937,950,265,-672
SCL,"3/6/2025 3 a.m. PST",923,940,215,-708
SCL,"3/6/2025 4 a.m. PST",929,950,218,-711
SCL,"3/6/2025 5 a.m. PST",968,998,263,-705
SCL,"3/6/2025 6 a.m. PST",1066,1104,525,-541
SCL,"3/6/2025 7 a.m. PST",1211,1258,664,-547
SCL,"3/6/2025 8 a.m. PST",1310,1363,620,-690
SCL,"3/6/2025 9 a.m. PST",1332,1369,528,-804
SCL,"3/6/2025 10 a.m. PST",1330,1328,517,-813
SCL,"3/6/2025 11 a.m. PST",1302,1288,462,-840
SCL,"3/6/2025 12 p.m. PST",1265,1250,284,-981
SCL,"3/6/2025 1 p.m. PST",1205,1220,325,-880
SCL,"3/6/2025 2 p.m. PST",1158,1194,307,-851
SCL,"3/6/2025 3 p.m. PST",1125,1172,304,-821
SCL,"3/6/2025 4 p.m. PST",1114,1160,324,-790
SCL,"3/6/2025 5 p.m. PST",1137,1178,500,-637
SCL,"3/6/2025 6 p.m. PST",1181,1224,674,-507
SCL,"3/6/2025 7 p.m. PST",1231,1270,616,-615
SCL,"3/6/2025 8 p.m. PST",1241,1261,618,-623
SCL,"3/6/2025 9 p.m. PST",1216,1243,618,-598
SCL,"3/6/2025 10 p.m. PST",1179,1201,597,-582
SCL,"3/6/2025 11 p.m. PST",1099,1130,507,-592
SCL,"3/7/2025 12 a.m. PST",1029,1059,334,-695
SCL,"3/7/2025 1 a.m. PST",976,982,264,-712
SCL,"3/7/2025 2 a.m. PST",954,951,207,-747
SCL,"3/7/2025 3 a.m. PST",946,940,207,-739
SCL,"3/7/2025 4 a.m. PST",956,949,205,-751
SCL,"3/7/2025 5 a.m. PST",1001,996,277,-724
SCL,"3/7/2025 6 a.m. PST",1093,1100,522,-571
SCL,"3/7/2025 7 a.m. PST",1233,1246,571,-662
SCL,"3/7/2025 8 a.m. PST",1334,1352,613,-721
SCL,"3/7/2025 9 a.m. PST",1391,1363,530,-861
SCL,"3/7/2025 10 a.m. PST",1393,1328,290,-1103
SCL,"3/7/2025 11 a.m. PST",1383,1290,287,-1096
SCL,"3/7/2025 12 p.m. PST",1341,1263,282,-1059
SCL,"3/7/2025 1 p.m. PST",1271,1235,316,-955
SCL,"3/7/2025 2 p.m. PST",1229,1207,343,-886
SCL,"3/7/2025 3 p.m. PST",1206,1183,318,-888
SCL,"3/7/2025 4 p.m. PST",1218,1165,286,-932
SCL,"3/7/2025 5 p.m. PST",1242,1178,313,-929
SCL,"3/7/2025 6 p.m. PST",1273,1211,629,-644
SCL,"3/7/2025 7 p.m. PST",1298,1242,595,-703
SCL,"3/7/2025 8 p.m. PST",1280,1226,571,-709
SCL,"3/7/2025 9 p.m. PST",1240,1200,422,-818
SCL,"3/7/2025 10 p.m. PST",1192,1159,414,-778
SCL,"3/7/2025 11 p.m. PST",1127,1104,305,-822
SCL,"3/8/2025 12 a.m. PST",1072,1042,316,-756
SCL,"3/8/2025 1 a.m. PST",1010,980,271,-739
SCL,"3/8/2025 2 a.m. PST",976,936,255,-721
SCL,"3/8/2025 3 a.m. PST",948,916,259,-689
SCL,"3/8/2025 4 a.m. PST",944,911,226,-718
SCL,"3/8/2025 5 a.m. PST",957,925,223,-734
SCL,"3/8/2025 6 a.m. PST",989,964,501,-488
SCL,"3/8/2025 7 a.m. PST",1048,1023,529,-519
SCL,"3/8/2025 8 a.m. PST",1116,1081,488,-628
SCL,"3/8/2025 9 a.m. PST",1180,1123,486,-694
SCL,"3/8/2025 10 a.m. PST",1207,1140,320,-887
SCL,"3/8/2025 11 a.m. PST",1222,1127,346,-876
SCL,"3/8/2025 12 p.m. PST",1225,1101,359,-866
SCL,"3/8/2025 1 p.m. PST",1221,1073,329,-892
SCL,"3/8/2025 2 p.m. PST",1196,1037,302,-894
SCL,"3/8/2025 3 p.m. PST",1347,1024,427,-920
SCL,"3/8/2025 4 p.m. PST",1185,1020,293,-892
SCL,"3/8/2025 5 p.m. PST",1212,1047,383,-829
SCL,"3/8/2025 6 p.m. PST",1236,1083,519,-717
SCL,"3/8/2025 7 p.m. PST",1246,1134,583,-663
SCL,"3/8/2025 8 p.m. PST",1222,1131,486,-736
SCL,"3/8/2025 9 p.m. PST",1182,1111,597,-585
SCL,"3/8/2025 10 p.m. PST",1120,1077,488,-632
SCL,"3/8/2025 11 p.m. PST",1079,1036,487,-592
SCL,"3/9/2025 12 a.m. PST",1025,985,472,-553
SCL,"3/9/2025 1 a.m. PST",975,941,265,-710
SCL,"3/9/2025 3 a.m. PDT",942,867,266,-676
SCL,"3/9/2025 4 a.m. PDT",922,871,221,-701
SCL,"3/9/2025 5 a.m. PDT",920,894,212,-708
SCL,"3/9/2025 6 a.m. PDT",938,942,274,-664
SCL,"3/9/2025 7 a.m. PDT",978,995,323,-655
SCL,"3/9/2025 8 a.m. PDT",1023,1033,324,-699
SCL,"3/9/2025 9 a.m. PDT",1080,1066,300,-780
SCL,"3/9/2025 10 a.m. PDT",1105,1092,184,-921
SCL,"3/9/2025 11 a.m. PDT",1114,1085,182,-932
SCL,"3/9/2025 12 p.m. PDT",1128,1082,223,-905
SCL,"3/9/2025 1 p.m. PDT",1153,1073,156,-997
SCL,"3/9/2025 2 p.m. PDT",1152,1073,134,-1018
SCL,"3/9/2025 3 p.m. PDT",1159,1080,145,-1014
SCL,"3/9/2025 4 p.m. PDT",1175,1105,153,-1022
SCL,"3/9/2025 5 p.m. PDT",1207,1142,222,-985
SCL,"3/9/2025 6 p.m. PDT",1278,1182,427,-851
SCL,"3/9/2025 7 p.m. PDT",1316,1221,671,-645
SCL,"3/9/2025 8 p.m. PDT",1340,1219,670,-670
SCL,"3/9/2025 9 p.m. PDT",1323,1168,618,-705
SCL,"3/9/2025 10 p.m. PDT",1277,1093,588,-689
SCL,"3/9/2025 11 p.m. PDT",1211,1005,504,-707
SCL,"3/10/2025 12 a.m. PDT",1126,,516,-610
SCL,"3/10/2025 1 a.m. PDT",1051,1032,245,-806
SCL,"3/10/2025 2 a.m. PDT",1008,1003,246,-762
SCL,"3/10/2025 3 a.m. PDT",984,994,245,-739
