"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SCL,"1/1/2025 12 a.m. PST",990,1152,360,-630
SCL,"1/1/2025 1 a.m. PST",1029,1035,379,-650
SCL,"1/1/2025 2 a.m. PST",1010,1015,352,-658
SCL,"1/1/2025 3 a.m. PST",994,995,381,-613
SCL,"1/1/2025 4 a.m. PST",991,990,384,-607
SCL,"1/1/2025 5 a.m. PST",999,1012,398,-601
SCL,"1/1/2025 6 a.m. PST",1054,1076,494,-560
SCL,"1/1/2025 7 a.m. PST",1108,1168,497,-611
SCL,"1/1/2025 8 a.m. PST",1150,1230,490,-660
SCL,"1/1/2025 9 a.m. PST",1168,1246,507,-661
SCL,"1/1/2025 10 a.m. PST",1209,1253,475,-734
SCL,"1/1/2025 11 a.m. PST",1239,1250,383,-856
SCL,"1/1/2025 12 p.m. PST",1243,1238,341,-902
SCL,"1/1/2025 1 p.m. PST",1241,1232,341,-900
SCL,"1/1/2025 2 p.m. PST",1240,1236,342,-898
SCL,"1/1/2025 3 p.m. PST",1253,1228,380,-873
SCL,"1/1/2025 4 p.m. PST",1269,1253,404,-865
SCL,"1/1/2025 5 p.m. PST",1317,1322,700,-617
SCL,"1/1/2025 6 p.m. PST",1366,1363,734,-632
SCL,"1/1/2025 7 p.m. PST",1334,1354,674,-660
SCL,"1/1/2025 8 p.m. PST",1308,1323,672,-636
SCL,"1/1/2025 9 p.m. PST",1272,1289,550,-722
SCL,"1/1/2025 10 p.m. PST",1220,1226,471,-749
SCL,"1/1/2025 11 p.m. PST",1155,1155,466,-689
SCL,"1/2/2025 12 a.m. PST",1085,1087,448,-637
SCL,"1/2/2025 1 a.m. PST",1029,1035,381,-648
SCL,"1/2/2025 2 a.m. PST",999,1006,327,-672
SCL,"1/2/2025 3 a.m. PST",982,991,327,-655
SCL,"1/2/2025 4 a.m. PST",994,1001,341,-653
SCL,"1/2/2025 5 a.m. PST",1037,1049,411,-626
SCL,"1/2/2025 6 a.m. PST",1130,1155,600,-530
SCL,"1/2/2025 7 a.m. PST",1245,1303,517,-728
SCL,"1/2/2025 8 a.m. PST",1338,1423,569,-769
SCL,"1/2/2025 9 a.m. PST",1386,1456,533,-853
SCL,"1/2/2025 10 a.m. PST",1399,1451,389,-1010
SCL,"1/2/2025 11 a.m. PST",1392,1431,335,-1057
SCL,"1/2/2025 12 p.m. PST",1387,1409,364,-1023
SCL,"1/2/2025 1 p.m. PST",1386,1399,307,-1079
SCL,"1/2/2025 2 p.m. PST",1381,1379,308,-1073
SCL,"1/2/2025 3 p.m. PST",1378,1364,313,-1065
SCL,"1/2/2025 4 p.m. PST",1387,1356,504,-883
SCL,"1/2/2025 5 p.m. PST",1423,1412,650,-773
