"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SCL,"3/1/2024 12 a.m. PST",1170,1137,527,-643
SCL,"3/1/2024 1 a.m. PST",1106,1122,427,-679
SCL,"3/1/2024 2 a.m. PST",1060,1078,362,-698
SCL,"3/1/2024 3 a.m. PST",1057,1067,358,-699
SCL,"3/1/2024 4 a.m. PST",1064,1072,355,-709
SCL,"3/1/2024 5 a.m. PST",1105,1109,434,-671
SCL,"3/1/2024 6 a.m. PST",1251,1209,460,-791
SCL,"3/1/2024 7 a.m. PST",1399,1352,501,-898
SCL,"3/1/2024 8 a.m. PST",1492,1463,555,-937
SCL,"3/1/2024 9 a.m. PST",1532,1474,647,-885
SCL,"3/1/2024 10 a.m. PST",1509,1448,618,-891
SCL,"3/1/2024 11 a.m. PST",1508,1407,564,-944
SCL,"3/1/2024 12 p.m. PST",1498,1365,531,-967
SCL,"3/1/2024 1 p.m. PST",1534,1338,542,-992
SCL,"3/1/2024 2 p.m. PST",1527,1320,519,-1008
SCL,"3/1/2024 3 p.m. PST",1469,1305,442,-1027
SCL,"3/1/2024 4 p.m. PST",1429,1300,436,-993
SCL,"3/1/2024 5 p.m. PST",1426,1299,472,-954
SCL,"3/1/2024 6 p.m. PST",1481,1349,626,-855
SCL,"3/1/2024 7 p.m. PST",1481,1373,676,-805
SCL,"3/1/2024 8 p.m. PST",1451,1346,652,-799
SCL,"3/1/2024 9 p.m. PST",1421,1309,490,-931
SCL,"3/1/2024 10 p.m. PST",1363,1257,469,-894
SCL,"3/1/2024 11 p.m. PST",1279,1186,511,-768
SCL,"3/2/2024 12 a.m. PST",1211,1126,528,-683
SCL,"3/2/2024 1 a.m. PST",1150,1122,467,-683
SCL,"3/2/2024 2 a.m. PST",1104,1086,426,-678
SCL,"3/2/2024 3 a.m. PST",1084,1071,404,-680
SCL,"3/2/2024 4 a.m. PST",1077,1071,391,-686
SCL,"3/2/2024 5 a.m. PST",1082,1091,385,-697
SCL,"3/2/2024 6 a.m. PST",1134,1145,463,-671
SCL,"3/2/2024 7 a.m. PST",1205,1220,410,-795
SCL,"3/2/2024 8 a.m. PST",1274,1304,475,-799
SCL,"3/2/2024 9 a.m. PST",1347,1370,570,-777
