"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SCL,"1/5/2024 9 a.m. PST",1424,1396,555,-869
SCL,"1/5/2024 10 a.m. PST",1434,1396,514,-920
SCL,"1/5/2024 11 a.m. PST",1435,1378,505,-930
SCL,"1/5/2024 12 p.m. PST",1428,1369,537,-891
SCL,"1/5/2024 1 p.m. PST",1426,1359,558,-868
SCL,"1/5/2024 2 p.m. PST",1421,1340,519,-902
SCL,"1/5/2024 3 p.m. PST",1426,1311,516,-910
SCL,"1/5/2024 4 p.m. PST",1428,1335,491,-937
SCL,"1/5/2024 5 p.m. PST",1474,1370,568,-906
SCL,"1/5/2024 6 p.m. PST",1484,1419,657,-827
SCL,"1/5/2024 7 p.m. PST",1437,1388,610,-827
SCL,"1/5/2024 8 p.m. PST",1386,1328,592,-794
SCL,"1/5/2024 9 p.m. PST",1341,1280,516,-825
SCL,"1/5/2024 10 p.m. PST",1280,1217,475,-805
SCL,"1/5/2024 11 p.m. PST",1210,1152,482,-728
SCL,"1/6/2024 12 a.m. PST",1137,1087,512,-625
SCL,"1/6/2024 1 a.m. PST",1077,1043,396,-681
SCL,"1/6/2024 2 a.m. PST",1043,1002,329,-714
SCL,"1/6/2024 3 a.m. PST",1030,981,296,-734
SCL,"1/6/2024 4 a.m. PST",1019,974,297,-722
SCL,"1/6/2024 5 a.m. PST",1037,983,333,-704
SCL,"1/6/2024 6 a.m. PST",1065,1016,381,-684
SCL,"1/6/2024 7 a.m. PST",1130,1059,387,-743
SCL,"1/6/2024 8 a.m. PST",1190,1130,469,-721
SCL,"1/6/2024 9 a.m. PST",1252,1208,493,-759
SCL,"1/6/2024 10 a.m. PST",1291,1265,502,-789
SCL,"1/6/2024 11 a.m. PST",1319,1292,507,-812
SCL,"1/6/2024 12 p.m. PST",1344,1301,494,-850
SCL,"1/6/2024 1 p.m. PST",1316,1296,499,-817
SCL,"1/6/2024 2 p.m. PST",1299,1274,546,-753
SCL,"1/6/2024 3 p.m. PST",1291,1264,577,-714
SCL,"1/6/2024 4 p.m. PST",1284,1263,599,-685
SCL,"1/6/2024 5 p.m. PST",1350,1303,639,-711
SCL,"1/6/2024 6 p.m. PST",1413,1359,780,-633
SCL,"1/6/2024 7 p.m. PST",1409,1347,780,-629
SCL,"1/6/2024 8 p.m. PST",1393,1314,763,-630
SCL,"1/6/2024 9 p.m. PST",1352,1272,605,-747
SCL,"1/6/2024 10 p.m. PST",1296,1226,563,-733
SCL,"1/6/2024 11 p.m. PST",1226,1166,579,-647
SCL,"1/7/2024 12 a.m. PST",1163,1107,459,-704
SCL,"1/7/2024 1 a.m. PST",1111,1087,428,-683
SCL,"1/7/2024 2 a.m. PST",1080,1043,283,-797
SCL,"1/7/2024 3 a.m. PST",1044,1025,269,-775
SCL,"1/7/2024 4 a.m. PST",1043,1021,272,-771
SCL,"1/7/2024 5 a.m. PST",1058,1028,303,-755
SCL,"1/7/2024 6 a.m. PST",1086,1055,350,-736
SCL,"1/7/2024 7 a.m. PST",1130,1092,427,-703
SCL,"1/7/2024 8 a.m. PST",1199,1151,445,-754
SCL,"1/7/2024 9 a.m. PST",1252,1215,464,-788
SCL,"1/7/2024 10 a.m. PST",1309,1275,506,-803
SCL,"1/7/2024 11 a.m. PST",1343,1302,487,-856
SCL,"1/7/2024 12 p.m. PST",1357,1309,490,-867
SCL,"1/7/2024 1 p.m. PST",1356,1307,469,-887
SCL,"1/7/2024 2 p.m. PST",1349,1296,499,-850
SCL,"1/7/2024 3 p.m. PST",1357,1276,493,-864
SCL,"1/7/2024 4 p.m. PST",1370,1291,474,-896
SCL,"1/7/2024 5 p.m. PST",1414,1340,580,-834
SCL,"1/7/2024 6 p.m. PST",1482,1413,744,-738
SCL,"1/7/2024 7 p.m. PST",1480,1419,754,-726
SCL,"1/7/2024 8 p.m. PST",1463,1403,747,-716
SCL,"1/7/2024 9 p.m. PST",1409,1360,684,-725
SCL,"1/7/2024 10 p.m. PST",1341,1290,626,-715
SCL,"1/7/2024 11 p.m. PST",1240,1209,534,-706
SCL,"1/8/2024 12 a.m. PST",1178,1126,409,-769
SCL,"1/8/2024 1 a.m. PST",1120,1087,399,-721
