"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SCL,"12/5/2024 1 a.m. PST",1152,1170,105,-1047
SCL,"12/5/2024 2 a.m. PST",1120,1127,178,-942
SCL,"12/5/2024 3 a.m. PST",1106,1110,111,-995
SCL,"12/5/2024 4 a.m. PST",1119,1115,113,-1006
SCL,"12/5/2024 5 a.m. PST",1164,1155,287,-877
SCL,"12/5/2024 6 a.m. PST",1273,1258,364,-909
SCL,"12/5/2024 7 a.m. PST",1431,1409,776,-655
SCL,"12/5/2024 8 a.m. PST",1552,1523,706,-846
SCL,"12/5/2024 9 a.m. PST",1571,1548,662,-909
SCL,"12/5/2024 10 a.m. PST",1534,1524,493,-1041
SCL,"12/5/2024 11 a.m. PST",1514,1481,480,-1034
SCL,"12/5/2024 12 p.m. PST",1455,1443,476,-979
SCL,"12/5/2024 1 p.m. PST",1388,1407,275,-1113
SCL,"12/5/2024 2 p.m. PST",1408,1379,271,-1137
SCL,"12/5/2024 3 p.m. PST",1387,1362,261,-1126
SCL,"12/5/2024 4 p.m. PST",1362,1385,520,-842
SCL,"12/5/2024 5 p.m. PST",1427,1452,610,-817
SCL,"12/5/2024 6 p.m. PST",1446,1497,636,-810
SCL,"12/5/2024 7 p.m. PST",1414,1472,625,-789
SCL,"12/5/2024 8 p.m. PST",1372,1440,565,-807
SCL,"12/5/2024 9 p.m. PST",1332,1407,439,-893
SCL,"12/5/2024 10 p.m. PST",1274,1349,435,-839
SCL,"12/5/2024 11 p.m. PST",1186,1261,454,-732
SCL,"12/6/2024 12 a.m. PST",1101,1176,272,-829
SCL,"12/6/2024 1 a.m. PST",1038,1051,225,-813
SCL,"12/6/2024 2 a.m. PST",1008,1015,273,-735
SCL,"12/6/2024 3 a.m. PST",993,997,272,-721
SCL,"12/6/2024 4 a.m. PST",1005,1005,279,-726
SCL,"12/6/2024 5 a.m. PST",1050,1056,295,-755
SCL,"12/6/2024 6 a.m. PST",1153,1163,486,-667
SCL,"12/6/2024 7 a.m. PST",1308,1309,705,-603
SCL,"12/6/2024 8 a.m. PST",1443,1425,660,-783
SCL,"12/6/2024 9 a.m. PST",1466,1460,625,-841
SCL,"12/6/2024 10 a.m. PST",1446,1465,479,-967
SCL,"12/6/2024 11 a.m. PST",1463,1456,376,-1087
SCL,"12/6/2024 12 p.m. PST",1415,1441,246,-1169
SCL,"12/6/2024 1 p.m. PST",1390,1422,231,-1159
SCL,"12/6/2024 2 p.m. PST",1386,1404,236,-1150
SCL,"12/6/2024 3 p.m. PST",1381,1379,235,-1146
SCL,"12/6/2024 4 p.m. PST",1393,1395,684,-709
SCL,"12/6/2024 5 p.m. PST",1430,1450,740,-690
SCL,"12/6/2024 6 p.m. PST",1443,1467,770,-673
SCL,"12/6/2024 7 p.m. PST",1382,1425,730,-652
SCL,"12/6/2024 8 p.m. PST",1338,1381,701,-637
SCL,"12/6/2024 9 p.m. PST",1294,1339,613,-681
SCL,"12/6/2024 10 p.m. PST",1239,1286,431,-808
SCL,"12/6/2024 11 p.m. PST",1173,1217,268,-905
SCL,"12/7/2024 12 a.m. PST",1104,1142,272,-832
SCL,"12/7/2024 1 a.m. PST",1045,1019,100,-945
SCL,"12/7/2024 2 a.m. PST",1004,971,100,-904
SCL,"12/7/2024 3 a.m. PST",974,946,100,-874
SCL,"12/7/2024 4 a.m. PST",955,939,100,-855
SCL,"12/7/2024 5 a.m. PST",964,954,105,-859
SCL,"12/7/2024 6 a.m. PST",1003,995,107,-896
SCL,"12/7/2024 7 a.m. PST",1056,1057,258,-798
SCL,"12/7/2024 8 a.m. PST",1102,1126,207,-895
SCL,"12/7/2024 9 a.m. PST",1173,1187,399,-774
SCL,"12/7/2024 10 a.m. PST",1241,1234,523,-718
SCL,"12/7/2024 11 a.m. PST",1264,1258,485,-779
SCL,"12/7/2024 12 p.m. PST",1285,1270,246,-1039
SCL,"12/7/2024 1 p.m. PST",1286,1271,188,-1098
SCL,"12/7/2024 2 p.m. PST",1253,1265,187,-1066
