"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SCL,"10/5/2024 1 a.m. PDT",833,821,805,-28
SCL,"10/5/2024 2 a.m. PDT",821,777,803,-18
SCL,"10/5/2024 3 a.m. PDT",792,756,796,4
SCL,"10/5/2024 4 a.m. PDT",782,748,789,7
SCL,"10/5/2024 5 a.m. PDT",792,758,771,-21
SCL,"10/5/2024 6 a.m. PDT",810,789,655,-155
SCL,"10/5/2024 7 a.m. PDT",865,844,167,-698
SCL,"10/5/2024 8 a.m. PDT",930,896,209,-721
SCL,"10/5/2024 9 a.m. PDT",978,945,174,-804
SCL,"10/5/2024 10 a.m. PDT",1005,975,109,-896
SCL,"10/5/2024 11 a.m. PDT",1020,984,101,-919
SCL,"10/5/2024 12 p.m. PDT",1026,979,95,-931
SCL,"10/5/2024 1 p.m. PDT",1010,969,95,-915
SCL,"10/5/2024 2 p.m. PDT",996,962,93,-903
SCL,"10/5/2024 3 p.m. PDT",984,959,116,-868
SCL,"10/5/2024 4 p.m. PDT",962,958,190,-772
SCL,"10/5/2024 5 p.m. PDT",964,969,237,-727
SCL,"10/5/2024 6 p.m. PDT",987,979,262,-725
SCL,"10/5/2024 7 p.m. PDT",1011,999,272,-739
SCL,"10/5/2024 8 p.m. PDT",1002,1015,801,-201
SCL,"10/5/2024 9 p.m. PDT",1011,992,848,-163
SCL,"10/5/2024 10 p.m. PDT",1002,956,825,-177
SCL,"10/5/2024 11 p.m. PDT",940,918,811,-129
SCL,"10/6/2024 12 a.m. PDT",886,874,791,-95
SCL,"10/6/2024 1 a.m. PDT",837,802,642,-195
SCL,"10/6/2024 2 a.m. PDT",814,761,548,-266
SCL,"10/6/2024 3 a.m. PDT",783,741,546,-237
SCL,"10/6/2024 4 a.m. PDT",774,735,542,-232
SCL,"10/6/2024 5 a.m. PDT",783,742,494,-289
SCL,"10/6/2024 6 a.m. PDT",806,772,527,-279
SCL,"10/6/2024 7 a.m. PDT",847,822,659,-188
SCL,"10/6/2024 8 a.m. PDT",901,873,723,-178
SCL,"10/6/2024 9 a.m. PDT",962,914,748,-214
SCL,"10/6/2024 10 a.m. PDT",991,939,568,-423
SCL,"10/6/2024 11 a.m. PDT",990,952,510,-480
SCL,"10/6/2024 12 p.m. PDT",981,957,591,-390
SCL,"10/6/2024 1 p.m. PDT",983,954,599,-384
SCL,"10/6/2024 2 p.m. PDT",970,954,587,-383
SCL,"10/6/2024 3 p.m. PDT",975,953,600,-375
SCL,"10/6/2024 4 p.m. PDT",977,957,836,-141
SCL,"10/6/2024 5 p.m. PDT",988,975,945,-43
SCL,"10/6/2024 6 p.m. PDT",1025,1001,973,-52
SCL,"10/6/2024 7 p.m. PDT",1058,1025,961,-97
SCL,"10/6/2024 8 p.m. PDT",1082,1038,936,-146
SCL,"10/6/2024 9 p.m. PDT",1052,1016,894,-158
SCL,"10/6/2024 10 p.m. PDT",997,965,616,-381
SCL,"10/6/2024 11 p.m. PDT",932,901,431,-501
SCL,"10/7/2024 12 a.m. PDT",864,836,403,-461
SCL,"10/7/2024 1 a.m. PDT",814,783,565,-249
SCL,"10/7/2024 2 a.m. PDT",784,744,463,-321
SCL,"10/7/2024 3 a.m. PDT",764,730,464,-300
SCL,"10/7/2024 4 a.m. PDT",773,732,445,-328
SCL,"10/7/2024 5 a.m. PDT",795,760,444,-351
SCL,"10/7/2024 6 a.m. PDT",860,835,445,-415
SCL,"10/7/2024 7 a.m. PDT",985,964,223,-762
SCL,"10/7/2024 8 a.m. PDT",1080,1067,293,-787
SCL,"10/7/2024 9 a.m. PDT",1059,1090,285,-774
