"BA Code","Timestamp (Hour Ending)","Hydro Generation (MWh)"
SCL,"10/6/2024 11 a.m. PDT",510
SCL,"10/6/2024 12 p.m. PDT",591
SCL,"10/6/2024 1 p.m. PDT",599
SCL,"10/6/2024 2 p.m. PDT",587
SCL,"10/6/2024 3 p.m. PDT",600
SCL,"10/6/2024 4 p.m. PDT",836
SCL,"10/6/2024 5 p.m. PDT",945
SCL,"10/6/2024 6 p.m. PDT",973
SCL,"10/6/2024 7 p.m. PDT",961
SCL,"10/6/2024 8 p.m. PDT",936
SCL,"10/6/2024 9 p.m. PDT",894
SCL,"10/6/2024 10 p.m. PDT",616
SCL,"10/6/2024 11 p.m. PDT",431
SCL,"10/7/2024 12 a.m. PDT",403
SCL,"10/7/2024 1 a.m. PDT",565
SCL,"10/7/2024 2 a.m. PDT",463
SCL,"10/7/2024 3 a.m. PDT",464
SCL,"10/7/2024 4 a.m. PDT",445
SCL,"10/7/2024 5 a.m. PDT",444
SCL,"10/7/2024 6 a.m. PDT",445
SCL,"10/7/2024 7 a.m. PDT",223
SCL,"10/7/2024 8 a.m. PDT",293
SCL,"10/7/2024 9 a.m. PDT",285
SCL,"10/7/2024 10 a.m. PDT",139
SCL,"10/7/2024 11 a.m. PDT",114
SCL,"10/7/2024 12 p.m. PDT",114
SCL,"10/7/2024 1 p.m. PDT",100
SCL,"10/7/2024 2 p.m. PDT",110
SCL,"10/7/2024 3 p.m. PDT",136
SCL,"10/7/2024 4 p.m. PDT",167
SCL,"10/7/2024 5 p.m. PDT",193
SCL,"10/7/2024 6 p.m. PDT",246
SCL,"10/7/2024 7 p.m. PDT",245
SCL,"10/7/2024 8 p.m. PDT",770
SCL,"10/7/2024 9 p.m. PDT",775
SCL,"10/7/2024 10 p.m. PDT",614
SCL,"10/7/2024 11 p.m. PDT",661
SCL,"10/8/2024 12 a.m. PDT",660
SCL,"10/8/2024 1 a.m. PDT",633
SCL,"10/8/2024 2 a.m. PDT",647
SCL,"10/8/2024 3 a.m. PDT",622
SCL,"10/8/2024 4 a.m. PDT",623
SCL,"10/8/2024 5 a.m. PDT",609
SCL,"10/8/2024 6 a.m. PDT",666
SCL,"10/8/2024 7 a.m. PDT",210
SCL,"10/8/2024 8 a.m. PDT",236
SCL,"10/8/2024 9 a.m. PDT",221
SCL,"10/8/2024 10 a.m. PDT",115
SCL,"10/8/2024 11 a.m. PDT",107
SCL,"10/8/2024 12 p.m. PDT",100
SCL,"10/8/2024 1 p.m. PDT",98
SCL,"10/8/2024 2 p.m. PDT",94
SCL,"10/8/2024 3 p.m. PDT",96
SCL,"10/8/2024 4 p.m. PDT",95
SCL,"10/8/2024 5 p.m. PDT",189
SCL,"10/8/2024 6 p.m. PDT",217
SCL,"10/8/2024 7 p.m. PDT",243
SCL,"10/8/2024 8 p.m. PDT",534
SCL,"10/8/2024 9 p.m. PDT",693
SCL,"10/8/2024 10 p.m. PDT",692
SCL,"10/8/2024 11 p.m. PDT",687
SCL,"10/9/2024 12 a.m. PDT",679
SCL,"10/9/2024 1 a.m. PDT",752
SCL,"10/9/2024 2 a.m. PDT",718
SCL,"10/9/2024 3 a.m. PDT",722
SCL,"10/9/2024 4 a.m. PDT",614
SCL,"10/9/2024 5 a.m. PDT",625
SCL,"10/9/2024 6 a.m. PDT",594
SCL,"10/9/2024 7 a.m. PDT",277
SCL,"10/9/2024 8 a.m. PDT",246
SCL,"10/9/2024 9 a.m. PDT",200
SCL,"10/9/2024 10 a.m. PDT",109
SCL,"10/9/2024 11 a.m. PDT",101
SCL,"10/9/2024 12 p.m. PDT",99
SCL,"10/9/2024 1 p.m. PDT",92
SCL,"10/9/2024 2 p.m. PDT",98
SCL,"10/9/2024 3 p.m. PDT",98
SCL,"10/9/2024 4 p.m. PDT",96
SCL,"10/9/2024 5 p.m. PDT",129
SCL,"10/9/2024 6 p.m. PDT",174
SCL,"10/9/2024 7 p.m. PDT",282
SCL,"10/9/2024 8 p.m. PDT",775
SCL,"10/9/2024 9 p.m. PDT",808
SCL,"10/9/2024 10 p.m. PDT",778
SCL,"10/9/2024 11 p.m. PDT",658
SCL,"10/10/2024 12 a.m. PDT",651
SCL,"10/10/2024 1 a.m. PDT",765
SCL,"10/10/2024 2 a.m. PDT",625
SCL,"10/10/2024 3 a.m. PDT",614
SCL,"10/10/2024 4 a.m. PDT",603
SCL,"10/10/2024 5 a.m. PDT",616
SCL,"10/10/2024 6 a.m. PDT",623
SCL,"10/10/2024 7 a.m. PDT",507
SCL,"10/10/2024 8 a.m. PDT",640
SCL,"10/10/2024 9 a.m. PDT",633
SCL,"10/10/2024 10 a.m. PDT",557
SCL,"10/10/2024 11 a.m. PDT",163
SCL,"10/10/2024 12 p.m. PDT",112
SCL,"10/10/2024 1 p.m. PDT",108
SCL,"10/10/2024 2 p.m. PDT",104
SCL,"10/10/2024 3 p.m. PDT",101
SCL,"10/10/2024 4 p.m. PDT",143
SCL,"10/10/2024 5 p.m. PDT",153
SCL,"10/10/2024 6 p.m. PDT",258
SCL,"10/10/2024 7 p.m. PDT",297
SCL,"10/10/2024 8 p.m. PDT",1008
SCL,"10/10/2024 9 p.m. PDT",1039
SCL,"10/10/2024 10 p.m. PDT",931
SCL,"10/10/2024 11 p.m. PDT",968
SCL,"10/11/2024 12 a.m. PDT",902
SCL,"10/11/2024 1 a.m. PDT",801
SCL,"10/11/2024 2 a.m. PDT",700
SCL,"10/11/2024 3 a.m. PDT",645
SCL,"10/11/2024 4 a.m. PDT",633
SCL,"10/11/2024 5 a.m. PDT",663
SCL,"10/11/2024 6 a.m. PDT",601
SCL,"10/11/2024 7 a.m. PDT",135
SCL,"10/11/2024 8 a.m. PDT",171
SCL,"10/11/2024 9 a.m. PDT",214
SCL,"10/11/2024 10 a.m. PDT",131
SCL,"10/11/2024 11 a.m. PDT",124
SCL,"10/11/2024 12 p.m. PDT",121
SCL,"10/11/2024 1 p.m. PDT",111
SCL,"10/11/2024 2 p.m. PDT",104
SCL,"10/11/2024 3 p.m. PDT",106
SCL,"10/11/2024 4 p.m. PDT",151
SCL,"10/11/2024 5 p.m. PDT",223
