"BA Code","Timestamp (Hour Ending)","Hydro Generation (MWh)"
SCL,"2/1/2025 12 a.m. PST",670
SCL,"2/1/2025 1 a.m. PST",655
SCL,"2/1/2025 2 a.m. PST",626
SCL,"2/1/2025 3 a.m. PST",431
SCL,"2/1/2025 4 a.m. PST",430
SCL,"2/1/2025 5 a.m. PST",438
SCL,"2/1/2025 6 a.m. PST",619
SCL,"2/1/2025 7 a.m. PST",685
SCL,"2/1/2025 8 a.m. PST",699
SCL,"2/1/2025 9 a.m. PST",638
SCL,"2/1/2025 10 a.m. PST",606
SCL,"2/1/2025 11 a.m. PST",598
SCL,"2/1/2025 12 p.m. PST",699
SCL,"2/1/2025 1 p.m. PST",704
SCL,"2/1/2025 2 p.m. PST",722
SCL,"2/1/2025 3 p.m. PST",638
SCL,"2/1/2025 4 p.m. PST",583
SCL,"2/1/2025 5 p.m. PST",799
SCL,"2/1/2025 6 p.m. PST",811
SCL,"2/1/2025 7 p.m. PST",800
SCL,"2/1/2025 8 p.m. PST",770
SCL,"2/1/2025 9 p.m. PST",780
SCL,"2/1/2025 10 p.m. PST",711
SCL,"2/1/2025 11 p.m. PST",729
SCL,"2/2/2025 12 a.m. PST",723
SCL,"2/2/2025 1 a.m. PST",325
SCL,"2/2/2025 2 a.m. PST",288
SCL,"2/2/2025 3 a.m. PST",283
SCL,"2/2/2025 4 a.m. PST",283
SCL,"2/2/2025 5 a.m. PST",283
SCL,"2/2/2025 6 a.m. PST",349
SCL,"2/2/2025 7 a.m. PST",453
SCL,"2/2/2025 8 a.m. PST",473
SCL,"2/2/2025 9 a.m. PST",452
SCL,"2/2/2025 10 a.m. PST",509
SCL,"2/2/2025 11 a.m. PST",593
SCL,"2/2/2025 12 p.m. PST",614
SCL,"2/2/2025 1 p.m. PST",478
SCL,"2/2/2025 2 p.m. PST",393
SCL,"2/2/2025 3 p.m. PST",387
SCL,"2/2/2025 4 p.m. PST",372
SCL,"2/2/2025 5 p.m. PST",636
SCL,"2/2/2025 6 p.m. PST",681
SCL,"2/2/2025 7 p.m. PST",602
SCL,"2/2/2025 8 p.m. PST",602
SCL,"2/2/2025 9 p.m. PST",594
SCL,"2/2/2025 10 p.m. PST",591
SCL,"2/2/2025 11 p.m. PST",459
SCL,"2/3/2025 12 a.m. PST",428
SCL,"2/3/2025 1 a.m. PST",434
SCL,"2/3/2025 2 a.m. PST",317
SCL,"2/3/2025 3 a.m. PST",313
SCL,"2/3/2025 4 a.m. PST",311
SCL,"2/3/2025 5 a.m. PST",349
SCL,"2/3/2025 6 a.m. PST",532
SCL,"2/3/2025 7 a.m. PST",696
SCL,"2/3/2025 8 a.m. PST",724
SCL,"2/3/2025 9 a.m. PST",642
SCL,"2/3/2025 10 a.m. PST",620
SCL,"2/3/2025 11 a.m. PST",610
SCL,"2/3/2025 12 p.m. PST",503
SCL,"2/3/2025 1 p.m. PST",564
SCL,"2/3/2025 2 p.m. PST",575
SCL,"2/3/2025 3 p.m. PST",545
SCL,"2/3/2025 4 p.m. PST",645
SCL,"2/3/2025 5 p.m. PST",834
SCL,"2/3/2025 6 p.m. PST",816
SCL,"2/3/2025 7 p.m. PST",828
SCL,"2/3/2025 8 p.m. PST",855
SCL,"2/3/2025 9 p.m. PST",803
SCL,"2/3/2025 10 p.m. PST",641
SCL,"2/3/2025 11 p.m. PST",575
SCL,"2/4/2025 12 a.m. PST",444
SCL,"2/4/2025 1 a.m. PST",269
SCL,"2/4/2025 2 a.m. PST",260
SCL,"2/4/2025 3 a.m. PST",248
SCL,"2/4/2025 4 a.m. PST",275
SCL,"2/4/2025 5 a.m. PST",310
SCL,"2/4/2025 6 a.m. PST",534
SCL,"2/4/2025 7 a.m. PST",585
SCL,"2/4/2025 8 a.m. PST",575
SCL,"2/4/2025 9 a.m. PST",575
SCL,"2/4/2025 10 a.m. PST",390
SCL,"2/4/2025 11 a.m. PST",393
SCL,"2/4/2025 12 p.m. PST",325
SCL,"2/4/2025 1 p.m. PST",311
SCL,"2/4/2025 2 p.m. PST",306
SCL,"2/4/2025 3 p.m. PST",211
SCL,"2/4/2025 4 p.m. PST",205
SCL,"2/4/2025 5 p.m. PST",461
SCL,"2/4/2025 6 p.m. PST",544
SCL,"2/4/2025 7 p.m. PST",591
SCL,"2/4/2025 8 p.m. PST",547
SCL,"2/4/2025 9 p.m. PST",521
SCL,"2/4/2025 10 p.m. PST",508
SCL,"2/4/2025 11 p.m. PST",336
SCL,"2/5/2025 12 a.m. PST",327
SCL,"2/5/2025 1 a.m. PST",383
SCL,"2/5/2025 2 a.m. PST",330
SCL,"2/5/2025 3 a.m. PST",328
SCL,"2/5/2025 4 a.m. PST",332
SCL,"2/5/2025 5 a.m. PST",475
SCL,"2/5/2025 6 a.m. PST",610
SCL,"2/5/2025 7 a.m. PST",609
SCL,"2/5/2025 8 a.m. PST",646
SCL,"2/5/2025 9 a.m. PST",637
SCL,"2/5/2025 10 a.m. PST",583
SCL,"2/5/2025 11 a.m. PST",435
SCL,"2/5/2025 12 p.m. PST",415
SCL,"2/5/2025 1 p.m. PST",398
SCL,"2/5/2025 2 p.m. PST",376
SCL,"2/5/2025 3 p.m. PST",252
SCL,"2/5/2025 4 p.m. PST",296
SCL,"2/5/2025 5 p.m. PST",590
SCL,"2/5/2025 6 p.m. PST",661
SCL,"2/5/2025 7 p.m. PST",645
SCL,"2/5/2025 8 p.m. PST",577
SCL,"2/5/2025 9 p.m. PST",491
SCL,"2/5/2025 10 p.m. PST",492
SCL,"2/5/2025 11 p.m. PST",341
SCL,"2/6/2025 12 a.m. PST",291
SCL,"2/6/2025 1 a.m. PST",209
SCL,"2/6/2025 2 a.m. PST",209
SCL,"2/6/2025 3 a.m. PST",187
SCL,"2/6/2025 4 a.m. PST",244
SCL,"2/6/2025 5 a.m. PST",340
SCL,"2/6/2025 6 a.m. PST",539
SCL,"2/6/2025 7 a.m. PST",551
SCL,"2/6/2025 8 a.m. PST",639
SCL,"2/6/2025 9 a.m. PST",651
SCL,"2/6/2025 10 a.m. PST",598
SCL,"2/6/2025 11 a.m. PST",428
SCL,"2/6/2025 12 p.m. PST",425
SCL,"2/6/2025 1 p.m. PST",433
SCL,"2/6/2025 2 p.m. PST",420
SCL,"2/6/2025 3 p.m. PST",391
SCL,"2/6/2025 4 p.m. PST",395
SCL,"2/6/2025 5 p.m. PST",545
SCL,"2/6/2025 6 p.m. PST",538
SCL,"2/6/2025 7 p.m. PST",541
SCL,"2/6/2025 8 p.m. PST",548
SCL,"2/6/2025 9 p.m. PST",486
SCL,"2/6/2025 10 p.m. PST",353
SCL,"2/6/2025 11 p.m. PST",205
SCL,"2/7/2025 12 a.m. PST",197
SCL,"2/7/2025 1 a.m. PST",199
SCL,"2/7/2025 2 a.m. PST",199
SCL,"2/7/2025 3 a.m. PST",202
SCL,"2/7/2025 4 a.m. PST",200
